V_hel,D_mpc,lg_Re,eps_e,vsig_e,lam_e,NGC,LABEL,Filter,arcsec,mu,alpha,beta,gamma,gamma_dash,rms,r_gamma,r_gamma_pc,rotator,group
695,11.7,1.35,0.262,0.687,0.589,NGC3489,power-law,F814W,0.41,14.00,0.64,4.84,-1.17,0.57,0.05,0.09,5.23,F,e
2177,34.7,1.15,0.507,0.456,0.510,NGC3595,power-law,FW,2.30,18.04,2.30,1.52,0.75,0.76,-,0.1,16.8,F,e
839,19.8,1.37,0.080,0.273,0.282,NGC3599,power-law,FW,1.25,17.45,50.00,1.45,0.75,0.75,-,0.04,3.84,F,e,
1226,22.3,1.47,0.190,0.054,0.043,NGC3608,core,FW,0.48,15.73,0.90,1.50,0.09,0.17,-,0.18,19.27,S,c
1707,20.8,1.20,0.381,0.642,0.530,NGC3610,power-law,-,2.84,16.39,48.50,1.86,0.76,0.76,-,0.02,2.02,F,e
2051,28.3,1.42,0.460,0.202,0.222,NGC3613,core,F702W,0.33,15.80,1.65,1.10,0.01,0.14,0.01,0.29,40.05,F,e
1298,26.3,1.49,0.191,0.370,0.377,NGC3640,intermediate,F555W,4.05,18.00,1.12,2.17,0.46,0.48,0.01,0.14,18.45,F,e
1250,22.7,1.06,0.361,0.164,0.171,NGC3796,power-law,F814W,0.20,14.00,3.24,1.48,0.66,0.74,0.01,0.1,11.0,S,d
1281,23.2,1.45,0.090,0.717,0.524,NGC3945,power-law,-,7.38,18.62,0.30,2.56,-0.06,0.57,-,0.10,10.80,F,e
1048,13.7,1.30,0.170,0.415,0.454,NGC3998,intermediate,F814W,0.28,14.00,2.77,6.32,0.15,0.49,0.03,0.10,6.74,F,e
985,13.2,1.31,0.556,0.540,0.548,NGC4026,power-law,-,0.63,15.23,0.40,1.78,0.15,0.65,-,0.02,1.58,F,e
946,15.5,1.39,0.390,0.504,0.53,NGC4143,power-law,-,3.11,17.11,1.30,2.18,0.59,0.61,-,0.1,7.51,F,e,
208,13.4,1.20,0.328,0.514,0.513,NGC4150,power-law,-,0.63,15.80,1.20,1.67,0.58,0.68,-,0.1,6.49,F,e
2286,30.9,1.48,0.129,0.047,0.040,NGC4168,core,-,2.02,18.06,1.40,1.39,0.17,0.17,-,0.99,148.98,S,c
1087,14.7,1.47,0.154,0.281,0.305,NGC4203,power-law,F555W,4.52,19.13,1.61,2.56,0.73,0.74,0.07,0.1,7.12,F,e
2212,30.8,1.58,0.222,0.090,0.085,NGC4261,core,-,1.62,16.43,2.40,1.43,0.00,0.00,-,1.25,186.79,S,b,
1375,15.4,1.10,0.117,0.297,0.309,NGC4262,power-law,F475W,2.59,17.07,5.00,1.96,0.76,0.76,0.03,0.1,7.46,F,e
1021,15.8,1.58,0.079,0.260,0.282,NGC4267,power-law,F475W,2.97,17.52,2.29,1.90,0.71,0.71,0.01,0.1,7.66,F,e
2331,35.2,1.21,0.543,0.378,0.406,NGC4270,intermediate,F606W,0.73,17.48,2.21,1.29,0.43,0.44,0.02,0.24,41.61,F,e
620,15.6,1.50,0.103,0.201,0.178,NGC4278,core,-,1.26,16.20,1.40,1.46,0.06,0.10,-,0.72,54.58,F,e
2671,24.4,1.34,0.535,0.757,0.651,NGC4281,power-law,F606W,0.09,15.23,3.59,0.89,0.06,0.56,0.01,0.09,11.01,F,e
1056,15.3,1.09,0.033,0.172,0.171,NGC4283,power-law,F475W,4.81,19.44,2.32,2.35,0.80,0.80,0.04,0.1,7.41,F,e
1266,16.0,1.48,0.060,0.311,0.325,NGC4339,power-law,F606W,23.29,24.00,1.08,5.93,0.80,0.81,0.03,0.1,7.75,F,e
933,18.4,1.57,0.227,0.499,0.458,NGC4340,power-law,F475W,1.91,17.45,4.27,1.44,0.68,0.68,0.03,0.1,8.92,F,e
761,16.5,0.82,0.442,0.537,0.528,NGC4342,power-law,F555W,8.38,24.00,0.56,8.53,-0.12,0.55,0.02,0.09,6.92,F,e
1210,15.4,1.23,0.674,0.658,0.638,NGC4350,intermediate,F475W,0.94,15.71,5.00,1.24,0.47,0.47,0.06,0.50,36.97,F,e
1243,23.3,1.72,0.254,0.114,0.088,NGC4365,core,F475W,2.07,16.71,1.53,1.50,-0.01,0.00,0.00,1.33,150.58,S,c
933,17.0,1.47,0.309,0.541,0.482,NGC4371,intermediate,F475W,0.53,16.26,3.45,0.81,0.27,0.27,0.02,0.49,40.06,F,e
1017,18.5,1.72,0.147,0.026,0.024,NGC4374,core,F475W,2.10,16.20,3.73,1.21,0.25,0.25,0.01,1.59,142.37,S,a
1338,17.8,1.13,0.157,0.443,0.473,NGC4377,intermediate,F475W,1.49,16.80,0.83,2.20,0.22,0.41,0.01,0.17,14.64,F,e
1074,15.8,1.27,0.224,0.386,0.398,NGC4379,power-law,F475W,59.50,23.24,0.39,4.15,0.16,0.46,0.02,0.14,10.37,F,e
746,17.9,1.82,0.202,0.174,0.163,NGC4382,core,F475W,0.90,14.00,0.80,1.56,-0.21,0.05,0.01,0.55,47.33,F,e
565,17.9,1.20,0.373,0.391,0.399,NGC4387,power-law,F475W,18.17,20.90,1.40,3.61,0.63,0.63,0.01,0.1,8.67,F,e
-224,16.8,1.97,0.211,0.090,0.052,NGC4406,core,F475W,1.05,16.00,3.43,1.11,-0.02,-0.02,0.01,1.00,81.63,S,c
828,16.0,1.25,0.566,0.542,0.548,NGC4417,power-law,F475W,1.94,16.72,5.00,1.48,0.68,0.68,0.01,0.1,7.75,F,e
1104,16.5,1.62,0.402,0.455,0.396,NGC4429,power-law,F606W,0.06,14.61,5.00,1.14,0.31,1.07,0.01,0.05,3.76,F,e
1070,22.4,1.16,0.058,0.249,0.288,NGC4434,power-law,F475W,6.89,19.63,0.49,3.01,0.22,0.54,0.03,0.08,8.51,F,e
547,15.3,1.44,0.335,0.350,0.363,NGC4442,power-law,F475W,55.80,21.73,0.54,3.79,0.41,0.52,0.02,0.07,5.28,F,e,
188,15.6,1.30,0.880,0.765,0.648,NGC4452,intermediate,F475W,4.91,18.87,5.00,1.55,0.39,0.39,0.04,3.13,236.49,F,e
677,16.4,1.37,0.121,0.150,0.072,NGC4458,intermediate,F475W,0.16,14.58,2.11,1.54,0.01,0.44,0.00,0.11,8.91,S,c
1192,16.1,1.56,0.148,0.477,0.438,NGC4459,power-law,F475W,0.46,15.00,3.64,1.32,0.48,0.49,0.01,0.17,12.94,F,e
981,17.1,1.98,0.172,0.073,0.077,NGC4472,core,F475W,2.82,16.62,1.14,1.43,-0.15,-0.11,0.02,2.06,170.75,S,c
2260,15.3,1.43,0.421,0.255,0.229,NGC4473,core,F475W,2.66,16.47,0.86,2.10,-0.02,0.10,0.02,0.72,53.40,F,d
1611,15.6,1.30,0.570,0.439,0.446,NGC4474,power-law,F475W,3.65,18.16,2.03,1.74,0.57,0.57,0.01,0.1,7.56,F,e
1968,17.6,1.20,0.353,0.236,0.153,NGC4476,intermediate,F475W,3.85,17.92,5.00,2.00,0.34,0.34,0.03,2.46,209.97,S,e
1338,16.5,1.59,0.135,0.216,0.221,NGC4477,intermediate,F606W,4.89,22.31,1.48,10.00,0.35,0.38,0.01,0.30,23.72,F,e
